"titulo","video_id","fecha_vista"
"[GOING SEVENTEEN] EP.69 돈’t Lie : CLUE #2 (Don’t Lie : CLUE #2)","in87oOJGvAE",2024-08-29
"[GOING SEVENTEEN] EP.69 돈’t Lie : CLUE #2 (Don’t Lie : CLUE #2)","in87oOJGvAE",2024-08-28
"[GOING SEVENTEEN] EP.68 돈’t Lie : CLUE #1 (Don’t Lie : CLUE #1)","BeDkwcm-nJ4",2024-08-28
"[GOING SEVENTEEN 2020] EP.41 돈't Lie Ⅱ #2 (Don't Lie Ⅱ #2)","YZg6Gr7PFBA",2024-08-28
"[GOING SEVENTEEN 2020] EP.40 돈't Lie Ⅱ #1 (Don't Lie Ⅱ #1)","7-RbcrWTth4",2024-08-28
"[GOING SEVENTEEN] EP.70 돈't Lie : The CHASER #1 (Don’t Lie : The CHASER #1)","q0bYVoLJ5UA",2024-08-28
"[GOING SEVENTEEN] EP.53 HIDE N SEEK","Gg1Iz-Ok-4g",2024-08-28
"[GOING SEVENTEEN SPECIAL] 고잉 코멘터리 (GOING COMMENTARY)","MG_Lm-USPgQ",2024-08-28
"[GOING SEVENTEEN] HORROR SPECIAL PREVIEW","BZwBKHCCvB4",2024-08-28
"[GOING SEVENTEEN] EP.15 버논에서 모처럼 모내기를 하며 모든 내기를 해보았다 #2 (Planting Rice and Making Bets #2)","6HEALKUTmfU",2024-08-27
"[GOING SEVENTEEN 2020] EP.9 불면제로 #2 (Insomnia-Zero #2)","mk3c9y05zLY",2024-08-27
"[GOING SEVENTEEN 2020] EP.8 불면제로 #1 (Insomnia-Zero #1)","89o7Ef7Qaq0",2024-08-27
"[GOING SEVENTEEN] EP.14 버논에서 모처럼 모내기를 하며 모든 내기를 해보았다 #1 (Planting Rice and Making Bets #1)","AxQDyhBYMtM",2024-08-27
"[GOING SEVENTEEN 2020] EP.23 드립 : 세븐틴 갓 탤런트 #1 (Ad-lib : Seventeen's got Talent #1)","vVAPe9DZxB4",2024-08-26
"[GOING SEVENTEEN 2020] EP.24 드립 : 세븐틴 갓 탤런트 #2 (Ad-lib : Seventeen's got Talent #2)","bVpPO8giupY",2024-08-26
"[GOING SEVENTEEN SPECIAL] 겨울방학 특집 : 안다와 몰라 #1 (I Know & Don't Know #1)","78LM7AyE6-g",2024-08-26
"[GOING SEVENTEEN] EP.87 부밀리가 떴다 #3 (BOOmily Outing #3)","CZLIeVxWG3c",2024-08-26
"[GOING SEVENTEEN] EP.85 부밀리가 떴다 #1 (BOOmily Outing #1)","I2YKtm1cYqc",2024-08-26
"[GOING SEVENTEEN] EP.86 부밀리가 떴다 #2 (BOOmily Outing #2)","A7TYMNqF-tY",2024-08-26
"[GOING SEVENTEEN] EP.35 둘이서 셉식당 #3 (SVT’s Kitchen for Two #3)","n73_2yj5oRo",2024-08-26
"[GOING SEVENTEEN] EP.34 둘이서 셉식당 #2 (SVT’s Kitchen for Two #2)","E8SP-CaFiyc",2024-08-26
"[GOING SEVENTEEN] EP.37 쌀밥을 맛있게 먹는 완벽한 방법 #2 (How to Eat Rice the Perfect Way #2)","BvJJrCND5w4",2024-08-26
"[GOING SEVENTEEN] EP.36 쌀밥을 맛있게 먹는 완벽한 방법 #1 (How to Eat Rice the Perfect Way #1)","JGc4foXl6BA",2024-08-26
"[GOING SEVENTEEN] EP.33 둘이서 셉식당 #1 (SVT’s Kitchen for Two #1)","Q7UPTAdSPYs",2024-08-25
"[GOING SEVENTEEN] EP.78 화이트에서 할 수 있는 모든 것 #2 (Everything Possible in the White Zone #2)","XHgJCzhh2QY",2024-08-25
"[GOING SEVENTEEN] EP.77 화이트에서 할 수 있는 모든 것 #1 (Everything Possible in the White Zone #1)","8JOCd84Pnas",2024-08-25
"[GOING SEVENTEEN] EP.77 화이트에서 할 수 있는 모든 것 #1 (Everything Possible in the White Zone #1)","8JOCd84Pnas",2024-08-25
